ITEM,AGENCIA,ALMACEN,GRUPO,CLASE,FAMILIA,PRODUCTO,VARIACION,MEDIDA,MODELO,MARCA,TIPO,CANTIDAD TOTAL,CANTIDAD,UNIDAD,TIPO,SERIE/LOTE,SERIE/LOTE ADICIONAL,COSTO S/,VALOR S/,FECHA INGRESO,DIAS ALMACEN
390,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100676,,130.900502,130.900502,03-10-2022,588
391,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100685,,130.900502,130.900502,03-10-2022,588
392,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100686,,130.900502,130.900502,03-10-2022,588
393,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100687,,130.900502,130.900502,03-10-2022,588
394,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100688,,130.900502,130.900502,03-10-2022,588
395,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100689,,130.900502,130.900502,03-10-2022,588
396,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100690,,130.900502,130.900502,03-10-2022,588
397,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100697,,130.900502,130.900502,03-10-2022,588
398,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100698,,130.900502,130.900502,03-10-2022,588
399,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100699,,130.900502,130.900502,03-10-2022,588
400,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100700,,130.900502,130.900502,03-10-2022,588
401,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100703,,130.900502,130.900502,03-10-2022,588
402,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100704,,130.900502,130.900502,03-10-2022,588
403,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100709,,130.900502,130.900502,03-10-2022,588
404,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100710,,130.900502,130.900502,03-10-2022,588
405,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100711,,130.900502,130.900502,03-10-2022,588
406,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100712,,130.900502,130.900502,03-10-2022,588
407,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100719,,130.900502,130.900502,03-10-2022,588
408,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100720,,130.900502,130.900502,03-10-2022,588
409,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100721,,130.900502,130.900502,03-10-2022,588
410,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100722,,130.900502,130.900502,03-10-2022,588
411,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100725,,130.900502,130.900502,03-10-2022,588
412,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100726,,130.900502,130.900502,03-10-2022,588
413,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100743,,130.900502,130.900502,03-10-2022,588
414,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100744,,130.900502,130.900502,03-10-2022,588
415,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100745,,130.900502,130.900502,03-10-2022,588
416,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100746,,130.900502,130.900502,03-10-2022,588
417,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100747,,130.900502,130.900502,03-10-2022,588
418,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100748,,130.900502,130.900502,03-10-2022,588
419,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100751,,130.900502,130.900502,03-10-2022,588
420,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100752,,130.900502,130.900502,03-10-2022,588
421,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100757,,130.900502,130.900502,03-10-2022,588
422,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100758,,130.900502,130.900502,03-10-2022,588
423,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100662,,130.900502,130.900502,03-10-2022,588
424,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100209,,130.900502,130.900502,03-10-2022,588
425,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100210,,130.900502,130.900502,03-10-2022,588
426,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100245,,130.900502,130.900502,03-10-2022,588
427,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100246,,130.900502,130.900502,03-10-2022,588
428,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100273,,130.900502,130.900502,03-10-2022,588
429,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100274,,130.900502,130.900502,03-10-2022,588
430,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100291,,130.900502,130.900502,03-10-2022,588
431,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100292,,130.900502,130.900502,03-10-2022,588
432,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100317,,130.900502,130.900502,03-10-2022,588
433,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100318,,130.900502,130.900502,03-10-2022,588
434,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100321,,130.900502,130.900502,03-10-2022,588
435,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100322,,130.900502,130.900502,03-10-2022,588
436,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100325,,130.900502,130.900502,03-10-2022,588
437,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100326,,130.900502,130.900502,03-10-2022,588
438,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100329,,130.900502,130.900502,03-10-2022,588
439,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100330,,130.900502,130.900502,03-10-2022,588
440,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100331,,130.900502,130.900502,03-10-2022,588
441,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100332,,130.900502,130.900502,03-10-2022,588
442,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100345,,130.900502,130.900502,03-10-2022,588
443,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100346,,130.900502,130.900502,03-10-2022,588
444,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100347,,130.900502,130.900502,03-10-2022,588
445,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100348,,130.900502,130.900502,03-10-2022,588
446,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100361,,130.900502,130.900502,03-10-2022,588
447,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100362,,130.900502,130.900502,03-10-2022,588
448,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100369,,130.900502,130.900502,03-10-2022,588
449,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100370,,130.900502,130.900502,03-10-2022,588
450,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100761,,130.900502,130.900502,03-10-2022,588
451,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100762,,130.900502,130.900502,03-10-2022,588
452,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100763,,130.900502,130.900502,03-10-2022,588
453,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100764,,130.900502,130.900502,03-10-2022,588
454,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100771,,130.900502,130.900502,03-10-2022,588
455,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100772,,130.900502,130.900502,03-10-2022,588
456,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100781,,130.900502,130.900502,03-10-2022,588
457,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100782,,130.900502,130.900502,03-10-2022,588
458,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100783,,130.900502,130.900502,03-10-2022,588
459,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100784,,130.900502,130.900502,03-10-2022,588
460,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100793,,130.900502,130.900502,03-10-2022,588
461,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,156,1,U. MIN,,112021100794,,130.900502,130.900502,03-10-2022,588
462,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,FUMIGADORA,FUMIGADORA MANUAL  HS20L CRAFTOP,MANUAL,,HS20L,CRAFTOP,PRODUCTO,6,1,U. MIN,GENERAL,#80 082020090758,,117.22147,117.22147,17-10-2022,574
463,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,FUMIGADORA,FUMIGADORA MANUAL  HS20L CRAFTOP,MANUAL,,HS20L,CRAFTOP,PRODUCTO,6,1,U. MIN,GENERAL,#76 082020090455,,117.22147,117.22147,17-10-2022,574
464,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,FUMIGADORA,FUMIGADORA MANUAL  HS20L CRAFTOP,MANUAL,,HS20L,CRAFTOP,PRODUCTO,6,1,U. MIN,GENERAL,#19 82020090051,,117.22147,117.22147,15-11-2022,545
465,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,FUMIGADORA,FUMIGADORA MANUAL  HS20L CRAFTOP,MANUAL,,HS20L,CRAFTOP,PRODUCTO,6,1,U. MIN,GENERAL,#238 082020090147,,117.22147,117.22147,17-10-2022,574
466,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,FUMIGADORA,FUMIGADORA MANUAL  HS20L CRAFTOP,MANUAL,,HS20L,CRAFTOP,PRODUCTO,6,1,U. MIN,GENERAL,#1 082020090982,,117.22147,117.22147,17-10-2022,574
467,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,FUMIGADORA,FUMIGADORA MANUAL  HS20L CRAFTOP,MANUAL,,HS20L,CRAFTOP,PRODUCTO,6,1,U. MIN,GENERAL,#28 82020090003,,117.22147,117.22147,15-11-2022,545
468,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,GENERADOR,GENERADOR A GASOLINA  GGR2500FA CRAFTOP,A GASOLINA,,GGR2500FA,CRAFTOP,PRODUCTO,4,1,U. MIN,,122021100107,,814.968167,814.968167,29-03-2022,776
469,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,GENERADOR,GENERADOR A GASOLINA  GGR2500FA CRAFTOP,A GASOLINA,,GGR2500FA,CRAFTOP,PRODUCTO,4,1,U. MIN,,122021100049,,814.968167,814.968167,29-03-2022,776
470,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,GENERADOR,GENERADOR A GASOLINA  GGR2500FA CRAFTOP,A GASOLINA,,GGR2500FA,CRAFTOP,PRODUCTO,4,1,U. MIN,,122021100055,,814.968167,814.968167,29-03-2022,776
471,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,GENERADOR,GENERADOR A GASOLINA  GGR2500FA CRAFTOP,A GASOLINA,,GGR2500FA,CRAFTOP,PRODUCTO,4,1,U. MIN,,122021100099,,814.968167,814.968167,29-03-2022,776
472,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,GENERADOR,GENERADOR A GASOLINA  GGR5500FA CRAFTOP,A GASOLINA,,GGR5500FA,CRAFTOP,PRODUCTO,4,1,U. MIN,,122021100643,,1816.878399,1816.878399,29-03-2022,776
473,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,GENERADOR,GENERADOR A GASOLINA  GGR5500FA CRAFTOP,A GASOLINA,,GGR5500FA,CRAFTOP,PRODUCTO,4,1,U. MIN,,122021100658,,1816.878399,1816.878399,29-03-2022,776
474,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,GENERADOR,GENERADOR A GASOLINA  GGR5500FA CRAFTOP,A GASOLINA,,GGR5500FA,CRAFTOP,PRODUCTO,4,1,U. MIN,,122021100669,,1816.878399,1816.878399,29-03-2022,776
475,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,GENERADOR,GENERADOR A GASOLINA  GGR5500FA CRAFTOP,A GASOLINA,,GGR5500FA,CRAFTOP,PRODUCTO,4,1,U. MIN,,122021100628,,1816.878399,1816.878399,29-03-2022,776
476,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,HIDROLAVADORA,HIDROLAVADORA 110V (NO VALIDO EN PERU)  EHW8939TR CRAFTOP,110V (NO VALIDO EN PERU),,EHW8939TR,CRAFTOP,PRODUCTO,1,1,U. MIN,,,,436.94,436.94,,
477,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,HIDROLAVADORA,HIDROLAVADORA A GASOLINA  GHW3400A CRAFTOP,A GASOLINA,,GHW3400A,CRAFTOP,PRODUCTO,2,1,U. MIN,,072021080205,,1450.814,1450.814,03-10-2022,588
478,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,HIDROLAVADORA,HIDROLAVADORA A GASOLINA  GHW3400A CRAFTOP,A GASOLINA,,GHW3400A,CRAFTOP,PRODUCTO,2,1,U. MIN,,072021080211,,1450.814,1450.814,03-10-2022,588
479,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,HIDROLAVADORA,HIDROLAVADORA ELECTRICA 220V  EHW3135T CRAFTOP,ELECTRICA 220V,,EHW3135T,CRAFTOP,PRODUCTO,42,1,U. MIN,,072021080178,,252.477274,252.477274,03-10-2022,588
480,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,HIDROLAVADORA,HIDROLAVADORA ELECTRICA 220V  EHW3135T CRAFTOP,ELECTRICA 220V,,EHW3135T,CRAFTOP,PRODUCTO,42,1,U. MIN,,072021080101,,252.477274,252.477274,29-03-2022,776
481,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,HIDROLAVADORA,HIDROLAVADORA ELECTRICA 220V  EHW3135T CRAFTOP,ELECTRICA 220V,,EHW3135T,CRAFTOP,PRODUCTO,42,1,U. MIN,,072021080106,,252.477274,252.477274,29-03-2022,776
482,CRAFTOP TARAPOTO,CRAFTOP TARAPOTO,GENERICO,AGRICOLA,HIDROLAVADORA,HIDROLAVADORA ELECTRICA 220V  EHW3135T CRAFTOP,ELECTRICA 220V,,EHW3135T,CRAFTOP,PRODUCTO,42,1,U. MIN,,072021080108,,252.477274,252.477274,03-10-2022,588
