ITEM,AGENCIA,ALMACEN,GRUPO,CLASE,FAMILIA,PRODUCTO,VARIACION,MEDIDA,MODELO,MARCA,TIPO,CANTIDAD TOTAL,CANTIDAD,UNIDAD,TIPO,SERIE/LOTE,SERIE/LOTE ADICIONAL,COSTO S/,VALOR S/,FECHA INGRESO,DIAS ALMACEN
21,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,HIDROLAVADORA,HIDROLAVADORA ELECTRICA 220V  EHW5239T CRAFTOP,ELECTRICA 220V,,EHW5239T,CRAFTOP,PRODUCTO,2,1,U. MIN,,072021080416,,370.655915,370.655915,23-03-2023,417
22,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,HIDROLAVADORA,HIDROLAVADORA ELECTRICA 220V  EHW5239T CRAFTOP,ELECTRICA 220V,,EHW5239T,CRAFTOP,PRODUCTO,2,1,U. MIN,,072021080523,,370.655915,370.655915,24-08-2023,263
23,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,MOTOBOMBA,MOTOBOMBA A GASOLINA  GWP30 CRAFTOP,A GASOLINA,,GWP30,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#14 112020110274,,1,1,14-02-2022,819
24,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,MOTOR,MOTOR A GASOLINA  GE200 CRAFTOP,A GASOLINA,,GE200,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#68 102020010305,,384.911501,384.911501,24-08-2023,263
25,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,MOTOSIERRA,"MOTOSIERRA  16"" NT3760 CRAFTOP",,"16""",NT3760,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#11 210428770,,341.45,341.45,17-11-2021,908
26,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,MOTOSIERRA,"MOTOSIERRA  18"" NT4560 CRAFTOP",,"18""",NT4560,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#11 210539644,,337.1709,337.1709,17-11-2021,908
27,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,MOTOSIERRA,"MOTOSIERRA  20"" NT5260 CRAFTOP",,"20""",NT5260,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#63 210529393,,408.811343,408.811343,05-02-2023,463
28,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,MOTOSIERRA,"MOTOSIERRA  22"" NT5860 CRAFTOP",,"22""",NT5860,CRAFTOP,PRODUCTO,4,1,U. MIN,GENERAL,#12 210530561,,373.50623,373.50623,17-11-2021,908
29,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,MOTOSIERRA,"MOTOSIERRA  22"" NT5860 CRAFTOP",,"22""",NT5860,CRAFTOP,PRODUCTO,4,1,U. MIN,GENERAL,#29 210530264,,373.50623,373.50623,17-11-2021,908
30,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,MOTOSIERRA,"MOTOSIERRA  22"" NT5860 CRAFTOP",,"22""",NT5860,CRAFTOP,PRODUCTO,4,1,U. MIN,GENERAL,#179 200923010,,373.50623,373.50623,01-08-2021,1016
